Profile_ID,Career,Skills,Education,Experience,Job_Description
"Farmworkers, Farm, Ranch, and Aquacultural Animals_6","Farmworkers, Farm, Ranch, and Aquacultural Animals","BCL Landview Systems WinCrop, Farm Works Software Trac, Lancaster DHIA PCDART, Microsoft Excel, Microsoft Office software, Microsoft Word, Valley Agricultural Software DairyCOMP 305, Web browser software",8.37,7.8,"Attend to live farm, ranch, open range or aquacultural animals that may include cattle, sheep, swine, goats, horses and other equines, poultry, rabbits, finfish, shellfish, and bees. Attend to animals produced for animal products, such as meat, fur, skins, feathers, eggs, milk, and honey. Duties may include feeding, watering, herding, grazing, milking, castrating, branding, de-beaking, weighing, catching, and loading animals. May maintain records on animals; examine animals to detect diseases and injuries; assist in birth deliveries; and administer medications, vaccinations, or insecticides as appropriate. May clean and maintain animal housing areas. Includes workers who shear wool from sheep and collect eggs in hatcheries."
Marriage and Family Therapists_6,Marriage and Family Therapists,"Advantage Software Psych Advantage, American Medical Billing Software PMA, Anasazi Software Client Data System, Beaver Creek Software The THERAPIST, Blueberry Harbor Software Clinical Record Keeper, Care Paths eRecord, Casamba Smart, Cornucopia Software Practice MAGIC, DocuTrac QuicDoc, eMDs Medisoft, EZ2Bill Confidant, EZClaim medical billing software, Google Meet, Hypertext preprocessor PHP, Intuit QuickBooks, Mdansby The PsychReport, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook",8.22,9.9,"Diagnose and treat mental and emotional disorders, whether cognitive, affective, or behavioral, within the context of marriage and family systems. Apply psychotherapeutic and family systems theories and techniques in the delivery of services to individuals, couples, and families for the purpose of treating such diagnosed nervous and mental disorders."
Cartographers and Photogrammetrists_7,Cartographers and Photogrammetrists,"Aerotriangulation adjustment software, Autodesk World, Autodesk AutoCAD, Bentley MicroStation, C, Digital databases, Aldus FreeHand, Corporate Montage CADScript, Cosmo Software Cosmo World, Boeing SoftPlotter, Arbor Image Draftsman, Adobe Dreamweaver, Adobe InDesign, Adobe Creative Cloud software, Corel CorelDraw Graphics Suite, Adobe Acrobat, Bentley Systems InRoads Suite, Adobe Photoshop, Adobe Illustrator",8.41,10.3,"Research, study, and prepare maps and other spatial data in digital or graphic form for one or more purposes, such as legal, social, political, educational, and design purposes. May work with Geographic Information Systems (GIS). May design and evaluate algorithms, data structures, and user interfaces for GIS and mapping systems. May collect, analyze, and interpret geographic information provided by geodetic surveys, aerial photographs, and satellite data."
"Career/Technical Education Teachers, Postsecondary_2","Career/Technical Education Teachers, Postsecondary","Medical condition coding software, Google Classroom, Blackboard Learn, iParadigms Turnitin, Collaborative editing software, Blackboard software, GroupMe, Desire2Learn LMS software, Google Docs, DOC Cop, Learning management system LMS, Image scanning software, Microsoft Excel",8.34,8.8,"Teach vocational courses intended to provide occupational training below the baccalaureate level in subjects such as construction, mechanics/repair, manufacturing, transportation, or cosmetology, primarily to students who have graduated from or left high school. Teaching takes place in public or private schools whose primary business is academic or vocational education."
"Computer Science Teachers, Postsecondary_13","Computer Science Teachers, Postsecondary","Collaborative editing software, Desire2Learn LMS software, Hypertext markup language HTML, Email software, Adobe Photoshop, Course management system software, Blackboard Learn, C++, Blackboard software, Database software, Adobe Premiere Pro, iParadigms Turnitin, C#, Firewall software",8.28,8.9,"Teach courses in computer science. May specialize in a field of computer science, such as the design and function of computers or operations and research analysis. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
Telephone Operators_7,Telephone Operators,"Microsoft Excel, Microsoft PowerPoint, Microsoft Windows, Computer aided dispatch software, Microsoft Outlook, Microsoft Word, Handheld computer device software, Video conference software, Microsoft Office software",8.17,8.6,"Provide information by accessing alphabetical, geographical, or other directories. Assist customers with special billing requests, such as charges to a third party and credits or refunds for incorrectly dialed numbers or bad connections. May handle emergency calls and assist children or people with physical disabilities to make telephone calls."
Cytogenetic Technologists_3,Cytogenetic Technologists,"Adobe Illustrator, C++, Cell Bioscience Automated Image Capture, Digital karyotyping software, Genetix CytoVision, Genial Genetics iPassport QMS, Genial Genetics Shire, Geniel Genetics iGene, Image analysis software, Image capture software, KARIO, Lucia CGH, Lucia Comet Assay, Lucia FISH, Lucia Karyo, Lucia Metaphase Finder, LUCIA MFISH, MetaSystems Isis Color Karyotyping, Microsoft Excel, Microsoft Office software",8.26,8.3,"Analyze chromosomes or chromosome segments found in biological specimens, such as amniotic fluids, bone marrow, solid tumors, and blood to aid in the study, diagnosis, classification, or treatment of inherited or acquired genetic diseases. Conduct analyses through classical cytogenetic, fluorescent in situ hybridization (FISH) or array comparative genome hybridization (aCGH) techniques."
"Dispatchers, Except Police, Fire, and Ambulance_13","Dispatchers, Except Police, Fire, and Ambulance","Microsoft Dynamics, Microsoft Office software, Kronos Workforce Timekeeper, Database software, Geomechanical design analysis GDA software, Microsoft Access, Dr. Dispatch, Bornemann Associates Flight Plan, Email software, Locomotive distribution software, Digital Gateway e-automate, Command Alkon COMMANDconcrete, Microsoft Excel, Computer aided dispatching auto routing software",8.47,9.8,"Schedule and dispatch workers, work crews, equipment, or service vehicles for conveyance of materials, freight, or passengers, or for normal installation, service, or emergency repairs rendered outside the place of business. Duties may include using radio, telephone, or computer to transmit assignments and compiling statistics and reports on work progress."
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers_16","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","Microsoft PowerPoint, Microsoft Word, GroupMe, Microsoft Outlook, Microsoft Excel",8.34,9.5,"Monitor recreational areas, such as pools, beaches, or ski slopes, to provide assistance and protection to participants."
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers_9","Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Adobe Acrobat, HVAC tools software, Autodesk AutoCAD, IBM Notes, Contact management systems, Cworks CMMS, Microsoft Excel, IBM Maximo Asset Management, Graphics software, Johnson Controls Metasys, Database software, Delta Controls inteliWEB, Computerized maintenance management system CMMS",8.52,9.6,"Install or repair heating, central air conditioning, HVAC, or refrigeration systems, including oil burners, hot-air furnaces, and heating stoves."
"Inspectors, Testers, Sorters, Samplers, and Weighers_11","Inspectors, Testers, Sorters, Samplers, and Weighers","IBM Notes, Apache Pig, Data analysis software, Inspection marking systems, Atlassian JIRA, Apache Hive, Dassault Systemes CATIA, Data entry software, Computer assisted design software, Cybermetrics GAGETrak, Label inspection systems, Database software",8.31,8.1,"Inspect, test, sort, sample, or weigh nonagricultural raw materials or processed, machined, fabricated, or assembled parts or products for defects, wear, and deviations from specifications. May use precision measuring instruments and complex test equipment."
"Control and Valve Installers and Repairers, Except Mechanical Door_10","Control and Valve Installers and Repairers, Except Mechanical Door","Microsoft SharePoint, SAP software, Supervisory control and data acquisition SCADA software, Microsoft Visio, Programmable logic controller PLC software, Maintenance record software, Oracle Primavera Enterprise Project Portfolio Management, Microsoft PowerPoint, Microsoft Access, Microsoft Word, Microsoft Windows, Microsoft Outlook, Autodesk AutoCAD, IBM Maximo Asset Management, Structured query language SQL, Microsoft Excel",8.33,11.7,"Install, repair, and maintain mechanical regulating and controlling devices, such as electric meters, gas regulators, thermostats, safety and flow valves, and other mechanical governors."
Travel Guides_10,Travel Guides,"Microsoft Access, Microsoft Excel, Travel Agent CMS, Customer information databases, Microsoft Word, Facebook, Global positioning system GPS software, Web browser software, Microsoft Office software, Data visualization software, Microsoft PowerPoint, Microsoft Outlook",8.54,9.4,"Plan, organize, and conduct long-distance travel, tours, and expeditions for individuals and groups."
Food Service Managers_16,Food Service Managers,"Facebook, Gift Certificates Plus Giftworks, Delphi Technology, ClubSoft Food & Beverage Point of Sale, Food Services Solutions DayCap, ChefDesk Chef's Calculators, Army Food Management Information System, Culinary Software Services ChefTec, Google Docs, Aurora FoodPro, DataTeam Lunch Express, Food Service Solutions FoodCo, Database software, Food Service Solutions POSitive ID System, Dinerware Intuitive Restaurant, Apache Groovy",8.32,8.6,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages."
"First-Line Supervisors of Mechanics, Installers, and Repairers_9","First-Line Supervisors of Mechanics, Installers, and Repairers","Microsoft Dynamics, Microsoft Outlook, Computerized maintenance management system CMMS, HCSS HeavyBid, Email software, Cost accounting software, Automated inventory software, Infor ERP SyteLine, IBM Domino, Database software, Microsoft Internet Explorer",8.27,9.1,"Directly supervise and coordinate the activities of mechanics, installers, and repairers. May also advise customers on recommended services. Excludes team or work leaders."
Solar Energy Systems Engineers_17,Solar Energy Systems Engineers,"Bash, Debugging software, Data visualization software, Finite element method FEM software, Ansys Fluent, Computer aided design and drafting CADD software, Data acquisition software, Geographic information system GIS systems, Database software, Global positioning system GPS software, C++, HOMER Micropower Optimization Model, Dassault Systemes SolidWorks, Google Workspace software, ETAP, Autodesk AutoCAD LT, Autodesk AutoCAD",8.33,8.6,"Perform site-specific engineering analysis or evaluation of energy efficiency and solar projects involving residential, commercial, or industrial customers. Design solar domestic hot water and space heating systems for new and existing structures, applying knowledge of structural energy requirements, local climates, solar technology, and thermodynamics."
"Meeting, Convention, and Event Planners_17","Meeting, Convention, and Event Planners","Dean Evans & Associates EMS Professional, GruupMeet, Delphi Discovery, Convention Industry Council CIC APEX Toolbox, ESRI ArcGIS software, Events Operations Software, Active Network EventRegister, Facebook, Google Docs, Geographic information system GIS software, Hypertext markup language HTML, Adobe Photoshop, Event Management Software, Blackbaud The Raiser's Edge, IBM Lotus Notes",8.36,10.1,"Coordinate activities of staff, convention personnel, or clients to make arrangements for group meetings, events, or conventions."
Models_18,Models,"Microsoft Word, Apple iOS, Microsoft Excel, Facebook, YouTube, Web browser software, LinkedIn, Apple Safari, Microsoft Office software, Instagram",8.5,7.8,"Model garments or other apparel and accessories for prospective buyers at fashion shows, private showings, or retail establishments. May pose for photos to be used in magazines or advertisements. May pose as subject for paintings, sculptures, and other types of artistic expression."
Industrial-Organizational Psychologists_8,Industrial-Organizational Psychologists,"IBM SPSS Statistics, Human resource information system (HRIS), Microsoft Excel, Microsoft Outlook, Microsoft Access, Assessment Systems Corporation XCALIBRE, Oracle PeopleSoft, Microsoft Word, Mentimeter, Padlet, Microsoft Visio, Adobe Acrobat, Microsoft PowerPoint, Psychometric testing software, Google Sheets, Hypertext markup language HTML, Muthen & Muthen Mplus",8.58,9.4,"Apply principles of psychology to human resources, administration, management, sales, and marketing problems. Activities may include policy planning; employee testing and selection, training, and development; and organizational development and analysis. May work with management to organize the work setting to improve worker productivity."
Travel Agents_15,Travel Agents,"Microsoft Excel, MGHworld Travel Agents, Microsoft Office software, Global distribution system GDS software, Colibripms Software Colibri, DataSwell, Illusions Online Illusions OnDemand, Amadeus CRS, Microsoft Access, Globekey Agentkey, Microsoft Outlook, Galor Travel Booster, IMS Travel Agent Reservation Software System, Microsoft PowerPoint, Rezgo online booking software, Intuit QuickBooks",8.51,8.2,"Plan and sell transportation and accommodations for customers. Determine destination, modes of transportation, travel dates, costs, and accommodations required. May also describe, plan, and arrange itineraries and sell tour packages. May assist in resolving clients' travel problems."
Wind Energy Engineers_15,Wind Energy Engineers,"Apache Ant, Geographic information system GIS software, Extensible markup language XML, ANSYS simulation software, Amazon Web Services AWS software, ESRI ArcInfo, Apache Subversion SVN, Computational fluid dynamics CFD software, Bentley MicroStation, Formula translation/translator FORTRAN, ESRI ArcGIS software, Autodesk AutoCAD",8.4,9.4,Design underground or overhead wind farm collector systems and prepare and develop site specifications.
"Packers and Packagers, Hand_14","Packers and Packagers, Hand","Microsoft Excel, Microsoft Word, SAP software, Microsoft Office software, Autodesk AutoCAD",8.21,11.8,Pack or package by hand a wide variety of products and materials.
"Education Teachers, Postsecondary_5","Education Teachers, Postsecondary","Editing software, Microsoft PowerPoint, Microsoft Excel, Image scanning software, Microsoft Outlook, Google Docs, iParadigms Turnitin, Learning management system LMS, Email software, Microsoft Word, Course management system software, Desire2Learn LMS software, Blackboard Learn, Geogebra, Desmos",8.43,7.1,"Teach courses pertaining to education, such as counseling, curriculum, guidance, instruction, teacher education, and teaching English as a second language. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
Neurologists_3,Neurologists,"GalacTek ECLIPSE, Benchmark Systems Benchmark Clinical EHR, HealthFusion MediTouch, CareCloud Central, McKesson Practice Plus, Cerner PowerWorks Practice Management, Allscripts PM, Microsoft Excel, Greenway Medical Technologies PrimeSUITE, Automatic Data Processing AdvancedMD EHR, Kareo Practice Management",8.22,7.1,"Diagnose, manage, and treat disorders and diseases of the brain, spinal cord, and peripheral nerves, with a primarily nonsurgical focus."
"Art, Drama, and Music Teachers, Postsecondary_11","Art, Drama, and Music Teachers, Postsecondary","DOC Cop, Blackboard Learn, Adobe Dreamweaver, Desire2Learn LMS software, Adobe Acrobat, Apple Logic Pro, Adobe Creative Cloud software, Apple Final Cut Pro, Adobe Photoshop, Autodesk MotionBuilder, Apple DVD Studio Pro, Autodesk Maya, Blackboard software, Adobe After Effects, Course management system software, Collaborative editing software, Adobe Illustrator",8.17,8.1,"Teach courses in drama, music, and the arts including fine and applied art, such as painting and sculpture, or design and crafts. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
Probation Officers and Correctional Treatment Specialists_10,Probation Officers and Correctional Treatment Specialists,"Microsoft PowerPoint, Facebook, Email software, Microsoft Word, Microsoft Excel, Corel WordPerfect Office Suite, Web browser software, Speech recognition software, Electronic tracking device software, Microsoft Access",8.19,8.8,"Provide social services to assist in rehabilitation of law offenders in custody or on probation or parole. Make recommendations for actions involving formulation of rehabilitation plan and treatment of offender, including conditional release and education and employment stipulations."
Electricians_17,Electricians,"Elite Software VDROP, Elite Software Outpoint, Construction Master Pro, Microsoft Office software, Adobe Acrobat, AVEVA InTouch HMI, Database software, Microsoft Windows, Craftsman CD Estimator, Microsoft Excel, Microsoft Outlook, Microsoft Word, Insight Direct ServiceCEO",8.17,8.0,"Install, maintain, and repair electrical wiring, equipment, and fixtures. Ensure that work is in accordance with relevant codes. May install or service street lights, intercom systems, or electrical control systems."
Bioinformatics Scientists_8,Bioinformatics Scientists,"C#, Accelrys Pipeline Pilot, BWA, Biomatters Geneious, Canu, Apache Accumulo, Amazon Web Services AWS software, C, ClustalW, C++, BLAT",8.42,6.8,"Conduct research using bioinformatics theory and methods in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. May design databases and develop algorithms for processing and analyzing genomic information, or other biological information."
Fitness and Wellness Coordinators_5,Fitness and Wellness Coordinators,"Microsoft Publisher, Oracle HRIS, Adobe Acrobat, Microsoft PowerPoint, MicroFit HealthWizard, Microsoft Windows, Microsoft Outlook, Microsoft Word, Web browser software, Work scheduling software",8.18,9.7,"Manage or coordinate fitness and wellness programs and services. Manage and train staff of wellness specialists, health educators, or fitness instructors."
Sailors and Marine Oilers_6,Sailors and Marine Oilers,"Computerized maintenance management system CMMS, Microsoft Word, Microsoft PowerPoint, Log book software, Microsoft Outlook, Microsoft Windows, KNMI TurboWin, Kongsberg Maritime K-Log Deck Logbook",8.29,8.0,"Stand watch to look for obstructions in path of vessel, measure water depth, turn wheel on bridge, or use emergency equipment as directed by captain, mate, or pilot. Break out, rig, overhaul, and store cargo-handling gear, stationary rigging, and running gear. Perform a variety of maintenance tasks to preserve the painted surface of the ship and to maintain line and ship equipment. Must hold government-issued certification and tankerman certification when working aboard liquid-carrying vessels. Includes able seamen and ordinary seamen."
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary_6","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","ESRI ArcInfo, Corel CorelDraw Graphics Suite, Blackboard Learn, Course management system software, DOC Cop, GeoCenter SeisUP, Email software, Geosoft Oasis montaj, ACD Systems Canvas, Collaborative editing software, CGG HampsonRussell, Adobe After Effects, Adobe Acrobat, Desire2Learn LMS software, Google Docs, Golden Software Voxler, Ansys Fluent",8.39,9.1,"Teach courses in the physical sciences, except chemistry and physics. Includes both teachers primarily engaged in teaching, and those who do a combination of teaching and research."
Court Reporters and Simultaneous Captioners_4,Court Reporters and Simultaneous Captioners,"Nuance Dragon NaturallySpeaking, Corel WordPerfect Office Suite, Acculaw Court Reporters Billing Scheduling Job Management System ABSMS, Cheetah International SmartCAT, Gigatron StenoCAT, AudioScribe SpeechCAT, Microsoft Office software, ForTheRecord TheRecord Player, Advantage Software Total Eclipse, OMTI ReporterBase, Microsoft Outlook, Microsoft Excel, Acclaim Legal Acclaim DepoManage, HTH Engineering Start-Stop PowerPlay, Electronic Transcript Software ProTEXT, Courtroom Data Solutions Techlennium, Chase Software Solutions Court Reporting Software, Courtpages, Equative TimeLedger",8.45,10.0,"Use verbatim methods and equipment to capture, store, retrieve, and transcribe pretrial and trial proceedings or other information. Includes stenocaptioners who operate computerized stenographic captioning equipment to provide captions of live or prerecorded broadcasts for hearing-impaired viewers."
Cabinetmakers and Bench Carpenters_8,Cabinetmakers and Bench Carpenters,"Microsoft Outlook, Computerized maintenance management system CMMS, Microsoft Excel, Microsoft Windows, Autodesk AutoCAD",8.35,8.9,"Cut, shape, and assemble wooden articles or set up and operate a variety of woodworking machines, such as power saws, jointers, and mortisers to surface, cut, or shape lumber or to fabricate parts for wood products."
Industrial Production Managers_11,Industrial Production Managers,"Adobe Photoshop, Apple Final Cut Pro, ABB Optimize IT Predict & Control, Computerized maintenance management system CMMS, Adobe Acrobat, CitectSCADA Reports, Distributed control system DCS, Autodesk AutoCAD, Computer integrated manufacturing CIM warehouse shipping manager software, Computer integrated manufacturing CIM time manager software, Database software, Employee performance management system, AVEVA InTouch HMI",8.2,11.7,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications."
Weatherization Installers and Technicians_9,Weatherization Installers and Technicians,"Work scheduling software, Microsoft Access, Microsoft Project, Microsoft Word, Microsoft Office software, Database software, Microsoft PowerPoint, SAP software, Energy auditing software, Salesforce.com Salesforce CRM, Microsoft Excel, Microsoft Outlook, Web browser software, Energy use ratings databases",8.34,9.4,"Perform a variety of activities to weatherize homes and make them more energy efficient. Duties include repairing windows, insulating ducts, and performing heating, ventilating, and air-conditioning (HVAC) work. May perform energy audits and advise clients on energy conservation measures."
Brokerage Clerks_16,Brokerage Clerks,"Adobe Photoshop, Microsoft Access, Account management software, Microsoft Word, Bloomberg Professional, Adobe InDesign, Microsoft Outlook, Microsoft Excel, Microsoft Office software, Adobe Dreamweaver, Adobe Creative Cloud software, Adobe Illustrator, Adobe Acrobat, Microsoft PowerPoint, Microsoft Visual FoxPro, Microsoft Dynamics, HEAT Software GoldMine",8.31,11.4,"Perform duties related to the purchase, sale, or holding of securities. Duties include writing orders for stock purchases or sales, computing transfer taxes, verifying stock transactions, accepting and delivering securities, tracking stock price fluctuations, computing equity, distributing dividends, and keeping records of daily transactions and holdings."
Network and Computer Systems Administrators_17,Network and Computer Systems Administrators,"Apache Groovy, Active directory software, Adobe Acrobat, Amazon Simple Storage Service S3, Adobe ActionScript, Adexa eGPS Suite, Apache Ant, Amazon DynamoDB, Amazon Web Services AWS CloudFormation, AJAX, Apache Hadoop, Amazon Web Services AWS software, Amazon Elastic Compute Cloud EC2, Adobe Dreamweaver, Amazon Redshift, Advanced business application programming ABAP, Apache Hive",8.46,11.5,"Install, configure, and maintain an organization's local area network (LAN), wide area network (WAN), data communications network, operating systems, and physical and virtual servers. Perform system monitoring and verify the integrity and availability of hardware, network, and server resources and systems. Review system and application logs and verify completion of scheduled jobs, including system backups. Analyze network and server resource consumption and control user access. Install and upgrade software and maintain software licenses. May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software."
"Pediatricians, General_9","Pediatricians, General","e-MedRecords CompuKID, MEDITECH software, Epic Systems, Email software, eClinicalWorks EHR software, Epic Systems software, Patient electronic medical record EMR software, Scheduling software, Advanced Data Systems MedicsDocAssistant for Pediatrics, ChartWare EMR, EMR Experts Pediatric EMR, Medical information databases",8.13,9.3,"Diagnose, treat, and help prevent diseases and injuries in children. May refer patients to specialists for further diagnosis or treatment, as needed."
Validation Engineers_20,Validation Engineers,"Apache Cassandra, Amazon Web Services AWS CloudFormation, Apache Struts, Apache Ant, Bash, Bugzilla, Amazon Elastic Compute Cloud EC2, Atlassian JIRA, Apache Subversion SVN, Apache Groovy, C, Apache HTTP Server, Apache Solr, Amazon Web Services AWS software, Apache Kafka, Atlassian Bamboo, Apache Tomcat, Amazon DynamoDB, Apache Maven",8.35,7.7,"Design or plan protocols for equipment or processes to produce products meeting internal and external purity, safety, and quality requirements."
Floral Designers_3,Floral Designers,"Microsoft Outlook, Supply ordering software, Inventory tracking software, Microsoft Excel, Timekeeping software, Microsoft Office software, Transaction accounting software, Microsoft PowerPoint, Web browser software, Microsoft Word",8.61,10.0,"Design, cut, and arrange live, dried, or artificial flowers and foliage."
Refuse and Recyclable Material Collectors_17,Refuse and Recyclable Material Collectors,"AMCS Platform, Computerized maintenance management system CMMS, Dossier software, Fleet management software, Global positioning system GPS software, Mileage logging software, Payroll software, Routeware software, Squeegee, WAM software",8.08,7.7,Collect and dump refuse or recyclable materials from containers into truck. May drive truck.
Fire-Prevention and Protection Engineers_9,Fire-Prevention and Protection Engineers,"Egress EVACS, Bentley MicroStation, Consolidated fire and smoke transport model CFAST, Atria smoke management engineering tools ASMET, Available Safe Egress Time ASET, Egress Allsafe, Detector Actuation Quasi Steady DETACT-QS, ANSYS simulation software, Berkeley Algorithm for Breaking Window Glass in a Compartment Fire BREAK1, Consolidated compartment fire model CCFM, Autodesk Revit, CESARE Risk, Data acquisition software, Computational Dynamics STAR-CD, Crows Dynamics Simulex",8.17,8.0,"Research causes of fires, determine fire protection methods, and design or recommend materials or equipment such as structural components or fire-detection equipment to assist organizations in safeguarding life and property against fire, explosion, and related hazards."
Recreation Workers_20,Recreation Workers,"Recordkeeping software, Appletree, Scheduling software, Microsoft Word, Microsoft Publisher, Database software, Microsoft Internet Explorer, Microsoft Excel, Corel WordPerfect Office Suite, Microsoft Office software",8.43,6.7,"Conduct recreation activities with groups in public, private, or volunteer agencies or recreation facilities. Organize and promote activities, such as arts and crafts, sports, games, music, dramatics, social recreation, camping, and hobbies, taking into account the needs and interests of individual members."
Forensic Science Technicians_2,Forensic Science Technicians,"Adobe Photoshop, Automated Biometric Identification System ABIS, Combined DNA Index System CODIS, Computer aided design and drafting CADD software, Corel WordPerfect Office Suite, DataWorks Plus Digital CrimeScene, DesignWare 3D EyeWitness, DM2 Bills of Lading, Eos Systems PhotoModeler, Graphics software, Guidance Software EnCase Enterprise, IBM Notes, Image enhancement software, Integrated Automated Fingerprint Identification System IAFIS, Laboratory information management system LIMS, Linux, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook",8.4,9.5,"Collect, identify, classify, and analyze physical evidence related to criminal investigations. Perform tests on weapons or substances, such as fiber, hair, and tissue to determine significance to investigation. May testify as expert witnesses on evidence or crime laboratory techniques. May serve as specialists in area of expertise, such as ballistics, fingerprinting, handwriting, or biochemistry."
"Ushers, Lobby Attendants, and Ticket Takers_8","Ushers, Lobby Attendants, and Ticket Takers","Ticket Alternative Express Entry, Microsoft PowerPoint, Ticket scanning software, Microsoft Outlook, Microsoft Excel",8.44,10.4,"Assist patrons at entertainment events by performing duties, such as collecting admission tickets and passes from patrons, assisting in finding seats, searching for lost articles, and helping patrons locate such facilities as restrooms and telephones."
Automotive Glass Installers and Repairers_19,Automotive Glass Installers and Repairers,"Microsoft Windows, Workday software",8.29,6.3,Replace or repair broken windshields and window glass in motor vehicles.
Recycling Coordinators_16,Recycling Coordinators,"Microsoft Access, Work scheduling software, Microsoft Outlook, Microsoft Office software, SAP software, Web browser software",8.12,10.2,Supervise curbside and drop-off recycling programs for municipal governments or private firms.
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic_16","Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","SAP software, Microsoft PowerPoint, Microsoft Word, Operational databases, Microsoft Outlook",8.22,8.7,"Set up, operate, or tend machines to extrude or draw thermoplastic or metal materials into tubes, rods, hoses, wire, bars, or structural shapes."
Medical Equipment Preparers_17,Medical Equipment Preparers,"McKesson ANSOS One-Staff, Microsoft SharePoint, eClinicalWorks EHR software, Inventory tracking software, Microsoft Excel, MEDITECH Supply Chain Management, Kronos Workforce Timekeeper, Email software, Microsoft PowerPoint, Microsoft SharePoint Server, Microsoft Outlook, Pyxis MedStation software, Database software, Microsoft Word",8.21,10.8,"Prepare, sterilize, install, or clean laboratory or healthcare equipment. May perform routine laboratory tasks and operate or inspect equipment."
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic_18","Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Automated inventory software, Computerized numerical control CNC software, Microsoft Excel, Microsoft Office software, Microsoft Word, SAP software",8.1,8.3,"Set up, operate, or tend drilling machines to drill, bore, ream, mill, or countersink metal or plastic work pieces."
"Painters, Construction and Maintenance_10","Painters, Construction and Maintenance","Act!, Corel Paint Shop Pro, Corel Painter, Evergreen Technology Eagle Bid Estimating, Evergreen Technology Total Faux, Insight Direct ServiceCEO, Microsoft Excel, Microsoft Office software, Microsoft Windows, Microsoft Word, On Center Quick Bid, Turtle Creek Software Goldenseal",8.14,12.0,"Paint walls, equipment, buildings, bridges, and other structural surfaces, using brushes, rollers, and spray guns. May remove old paint to prepare surface prior to painting. May mix colors or oils to obtain desired color or consistency."
Athletic Trainers_1,Athletic Trainers,"Email software, BioEx Systems Exercise Pro, Microsoft Excel, Injury tracking software, Microsoft Office software, Keffer Development Services Athletic Trainer System ATS, Microsoft Word, Web browser software, Premier Software Simtrak Mobility, ImPACT Applications ImPACT",8.37,7.9,"Evaluate and treat musculoskeletal injuries or illnesses. Provide preventive, therapeutic, emergency, and rehabilitative care."
Histology Technicians_18,Histology Technicians,"Brady Specimen Labeling System, Cerner Millennium, Laboratory information system LIS, MEDITECH software, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft Word, Specimen labeling system software",8.29,12.5,Prepare histological slides from tissue sections for microscopic examination and diagnosis by pathologists. May assist with research studies.
Passenger Attendants_16,Passenger Attendants,"Appointment scheduling software, Email software, Microsoft Office software, Microsoft Windows, Microsoft Word, Time tracking software",8.07,10.4,"Provide services to ensure the safety of passengers aboard ships, buses, trains, or within the station or terminal. Perform duties such as explaining the use of safety equipment, serving meals or beverages, or answering questions related to travel."
"Cutters and Trimmers, Hand_20","Cutters and Trimmers, Hand","Microsoft Outlook, Microsoft Word, Microsoft Excel",8.47,11.4,"Use hand tools or hand-held power tools to cut and trim a variety of manufactured items, such as carpet, fabric, stone, glass, or rubber."
"Postal Service Mail Sorters, Processors, and Processing Machine Operators_10","Postal Service Mail Sorters, Processors, and Processing Machine Operators","NCR Advanced Store, Delivery operations information system DOIS, Time and Attendance Collection System TACS, Directory software, Barcode reader software, Microsoft SharePoint, Address Management System AMS, Microsoft Word, Teradata Database, Microsoft Excel, Microsoft Office software, Microsoft Outlook",8.43,10.4,"Prepare incoming and outgoing mail for distribution for the United States Postal Service (USPS). Examine, sort, and route mail. Load, operate, and occasionally adjust and repair mail processing, sorting, and canceling machinery. Keep records of shipments, pouches, and sacks, and perform other duties related to mail handling within the postal service. Includes postal service mail sorters and processors employed by USPS contractors."
"Coil Winders, Tapers, and Finishers_3","Coil Winders, Tapers, and Finishers","Electronic Systems of Wisconsin Motor Test System software, Blueprint display software, Machine Control Specialists CoilPro",8.32,10.6,"Wind wire coils used in electrical components, such as resistors and transformers, and in electrical equipment and instruments, such as field cores, bobbins, armature cores, electrical motors, generators, and control equipment."
